Date,Last Price
25/02/2021,28.89
24/02/2021,21.34
23/02/2021,23.11
22/02/2021,23.45
19/02/2021,22.05
18/02/2021,22.49
17/02/2021,21.5
16/02/2021,21.46
12/02/2021,19.97
11/02/2021,21.25
10/02/2021,21.99
09/02/2021,21.63
08/02/2021,21.24
05/02/2021,20.87
04/02/2021,21.77
03/02/2021,22.91
02/02/2021,25.56
01/02/2021,30.24
29/01/2021,33.09
28/01/2021,30.21
27/01/2021,37.21
26/01/2021,23.02
25/01/2021,23.19
22/01/2021,21.91
21/01/2021,21.32
20/01/2021,21.58
19/01/2021,23.24
15/01/2021,24.34
14/01/2021,23.25
13/01/2021,22.21
12/01/2021,23.33
11/01/2021,24.08
08/01/2021,21.56
07/01/2021,22.37
06/01/2021,25.07
05/01/2021,25.34
04/01/2021,26.97
31/12/2020,22.75
30/12/2020,22.77
29/12/2020,23.08
28/12/2020,21.7
24/12/2020,21.53
23/12/2020,23.31
22/12/2020,24.23
21/12/2020,25.16
18/12/2020,21.57
17/12/2020,21.93
16/12/2020,22.5
15/12/2020,22.89
14/12/2020,24.72
11/12/2020,23.31
10/12/2020,22.52
09/12/2020,22.27
08/12/2020,20.68
07/12/2020,21.3
04/12/2020,20.79
03/12/2020,21.28
02/12/2020,21.17
01/12/2020,20.77
30/11/2020,20.57
27/11/2020,20.84
25/11/2020,21.25
24/11/2020,21.64
23/11/2020,22.66
20/11/2020,23.7
19/11/2020,23.11
18/11/2020,23.84
17/11/2020,22.71
16/11/2020,22.45
13/11/2020,23.1
12/11/2020,25.35
11/11/2020,23.45
10/11/2020,24.8
09/11/2020,25.75
06/11/2020,24.86
05/11/2020,27.58
04/11/2020,29.57
03/11/2020,35.55
02/11/2020,37.13
30/10/2020,38.02
29/10/2020,37.59
28/10/2020,40.28
27/10/2020,33.35
26/10/2020,32.46
23/10/2020,27.55
22/10/2020,28.11
21/10/2020,28.65
20/10/2020,29.35
19/10/2020,29.18
16/10/2020,27.41
15/10/2020,26.97
14/10/2020,26.4
13/10/2020,26.07
12/10/2020,25.07
09/10/2020,25
08/10/2020,26.36
07/10/2020,28.06
06/10/2020,29.48
05/10/2020,27.96
02/10/2020,27.63
01/10/2020,26.7
30/09/2020,26.37
29/09/2020,26.27
28/09/2020,26.19
25/09/2020,26.38
24/09/2020,28.51
23/09/2020,28.58
22/09/2020,26.86
21/09/2020,27.78
18/09/2020,25.83
17/09/2020,26.46
16/09/2020,26.04
15/09/2020,25.59
14/09/2020,25.85
11/09/2020,26.87
10/09/2020,29.71
09/09/2020,28.81
08/09/2020,31.46
04/09/2020,30.75
03/09/2020,33.6
02/09/2020,26.57
01/09/2020,26.12
31/08/2020,26.41
28/08/2020,22.96
27/08/2020,24.47
26/08/2020,23.27
25/08/2020,22.03
24/08/2020,22.37
21/08/2020,22.54
20/08/2020,22.72
19/08/2020,22.54
18/08/2020,21.51
17/08/2020,21.35
14/08/2020,22.05
13/08/2020,22.13
12/08/2020,22.28
11/08/2020,24.03
10/08/2020,22.13
07/08/2020,22.21
06/08/2020,22.65
05/08/2020,22.99
04/08/2020,23.76
03/08/2020,24.28
31/07/2020,24.46
30/07/2020,24.76
29/07/2020,24.1
28/07/2020,25.44
27/07/2020,24.74
24/07/2020,25.84
23/07/2020,26.08
22/07/2020,24.32
21/07/2020,24.84
20/07/2020,24.46
17/07/2020,25.68
16/07/2020,28
15/07/2020,27.76
14/07/2020,29.52
13/07/2020,32.19
10/07/2020,27.29
09/07/2020,29.26
08/07/2020,28.08
07/07/2020,29.43
06/07/2020,27.94
02/07/2020,27.68
01/07/2020,28.62
30/06/2020,30.43
29/06/2020,31.78
26/06/2020,34.73
25/06/2020,32.22
24/06/2020,33.84
23/06/2020,31.37
22/06/2020,31.77
19/06/2020,35.12
18/06/2020,32.94
17/06/2020,33.47
16/06/2020,33.67
15/06/2020,34.4
12/06/2020,36.09
11/06/2020,40.79
10/06/2020,27.57
09/06/2020,27.57
08/06/2020,25.81
05/06/2020,24.52
04/06/2020,25.81
03/06/2020,25.66
02/06/2020,26.84
01/06/2020,28.23
29/05/2020,27.51
28/05/2020,28.59
27/05/2020,27.62
26/05/2020,28.01
22/05/2020,28.16
21/05/2020,29.53
20/05/2020,27.99
19/05/2020,30.53
18/05/2020,29.3
15/05/2020,31.89
14/05/2020,32.61
13/05/2020,35.28
12/05/2020,33.04
11/05/2020,27.57
08/05/2020,27.98
07/05/2020,31.44
06/05/2020,34.12
05/05/2020,33.61
04/05/2020,35.97
01/05/2020,37.19
30/04/2020,34.15
29/04/2020,31.23
28/04/2020,33.57
27/04/2020,33.29
24/04/2020,35.93
23/04/2020,41.38
22/04/2020,41.98
21/04/2020,45.41
20/04/2020,43.83
17/04/2020,38.15
16/04/2020,40.11
15/04/2020,40.84
14/04/2020,37.76
13/04/2020,41.17
09/04/2020,41.67
08/04/2020,43.35
07/04/2020,46.7
06/04/2020,45.24
03/04/2020,46.8
02/04/2020,50.91
01/04/2020,57.06
31/03/2020,53.54
30/03/2020,57.08
27/03/2020,65.54
26/03/2020,61
25/03/2020,63.95
24/03/2020,61.67
23/03/2020,61.59
20/03/2020,66.04
19/03/2020,72
18/03/2020,76.45
17/03/2020,75.91
16/03/2020,82.69
13/03/2020,57.83
12/03/2020,75.47
11/03/2020,53.9
10/03/2020,47.3
09/03/2020,54.46
06/03/2020,41.94
05/03/2020,39.62
04/03/2020,31.99
03/03/2020,36.82
02/03/2020,33.42
28/02/2020,40.11
27/02/2020,39.16
26/02/2020,27.56
